               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11016,            0.040437,                   0,            0.041178,            0.048485,            0.011589,           0.0027942,            0.094884,            0.030705,                   0,              0.0739,              0.0029,              0.0029
                   1,            0.084955,            0.042796,                   0,              0.2306,              0.1697,             0.10265,            0.029388,            0.080954,            0.030313,                   0,            0.046842,           0.0058416,           0.0058416
                   2,             0.07073,            0.038994,                   0,            0.081198,             0.24848,            0.045006,            0.013315,            0.082198,            0.031643,                   0,            0.019724,           0.0087238,           0.0087238
                   3,            0.064021,            0.037155,                   0,             0.19231,              0.2697,             0.13132,            0.040315,            0.077083,            0.044267,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.059948,            0.035333,                   0,             0.44699,             0.33333,             0.32212,            0.099419,            0.060868,             0.04054,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.053374,            0.034743,                   0,             0.51934,             0.52424,             0.47771,              0.1893,            0.054239,            0.025902,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.051417,            0.029419,                   0,             0.65742,             0.46364,             0.52942,             0.24798,            0.051522,            0.023495,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.047777,            0.030034,                   0,             0.72053,             0.51515,              0.6323,              0.2906,            0.048676,            0.023871,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.046264,            0.029625,                   0,             0.61395,             0.63333,             0.64073,             0.27887,            0.048266,            0.022614,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.042705,            0.029562,                   0,             0.71877,             0.59394,             0.65884,             0.34502,            0.045698,            0.022697,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.043456,            0.029515,                   0,             0.67635,             0.63333,             0.69028,             0.35185,            0.044531,            0.022337,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.041802,            0.027992,                   0,             0.67791,             0.62121,             0.66298,             0.34377,            0.044437,            0.022553,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.041082,            0.027556,                   0,             0.69269,             0.66667,             0.68016,             0.34566,            0.042511,            0.022308,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.039449,            0.025775,                   0,             0.75642,             0.60227,             0.68369,             0.35168,            0.043083,            0.022176,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.038439,            0.027089,                   0,             0.76927,             0.60606,             0.69321,             0.35015,            0.044787,            0.021755,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.038895,            0.025261,                   0,             0.74626,             0.65152,             0.71473,             0.40188,             0.04141,             0.02296,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.037674,            0.025809,                   0,             0.75061,             0.69091,             0.73632,             0.40098,            0.040527,            0.021682,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.035791,            0.025789,                   0,             0.75353,              0.6697,              0.7107,             0.38988,            0.040288,            0.022818,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.035837,             0.02713,                   0,             0.76222,             0.64545,             0.69782,             0.39144,            0.041788,            0.023142,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.036811,            0.026043,                   0,             0.74487,             0.69892,             0.75005,             0.41669,             0.03974,             0.02287,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.036386,            0.026523,                   0,              0.7813,             0.63333,              0.7103,             0.37509,            0.045434,            0.023753,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.035385,            0.025261,                   0,             0.77028,             0.66061,             0.71633,             0.40523,            0.041987,            0.023704,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.035504,            0.024899,                   0,             0.69762,             0.59697,             0.65641,             0.36594,             0.04363,            0.023877,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.035155,            0.025428,                   0,             0.82036,             0.60606,             0.73057,             0.42254,            0.040582,            0.024067,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.032928,            0.023185,                   0,             0.77878,             0.63939,             0.71918,             0.41444,            0.040134,            0.025075,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.034174,            0.023646,                   0,             0.73189,             0.64523,             0.71468,             0.41872,            0.039662,              0.0243,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.031582,            0.023061,                   0,             0.77754,             0.63547,             0.70998,             0.40493,            0.040011,            0.023964,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.032229,            0.022889,                   0,             0.72469,             0.65455,             0.71107,             0.40085,            0.040255,            0.024326,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.031317,            0.023302,                   0,             0.68028,              0.6641,             0.70208,             0.40234,            0.039401,            0.023892,                   0,            0.007327,            0.007327,            0.007327
                  29,             0.03178,            0.021899,                   0,              0.6658,             0.62786,             0.66837,             0.37214,            0.040722,            0.024679,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.033214,            0.024233,                   0,             0.67588,             0.68788,              0.7022,             0.38672,            0.040701,            0.024209,                   0,            0.007129,            0.007129,            0.007129
                  31,             0.03162,            0.022189,                   0,             0.70216,             0.65724,             0.70788,             0.41608,            0.039934,            0.024904,                   0,             0.00703,             0.00703,             0.00703
                  32,             0.03128,            0.022479,                   0,             0.75294,             0.68788,             0.75094,             0.42969,            0.038609,            0.024209,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.031551,            0.024252,                   0,             0.78632,             0.65152,              0.7354,             0.42097,            0.040408,            0.024767,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.030353,            0.022207,                   0,             0.75071,             0.65758,             0.71541,             0.40307,            0.040945,            0.024452,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.029835,            0.021119,                   0,             0.76837,             0.67348,              0.7478,             0.41908,            0.039249,            0.022838,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.030616,            0.022148,                   0,             0.79398,             0.64231,             0.73935,             0.43406,            0.038861,            0.023989,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.030976,            0.019939,                   0,              0.7952,             0.64714,             0.73548,             0.42995,             0.03975,            0.023889,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.029217,            0.020903,                   0,             0.72672,             0.68485,              0.7191,             0.41739,            0.040014,            0.023764,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.027797,            0.021412,                   0,             0.76853,             0.65455,             0.72271,             0.40622,            0.040658,            0.023719,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.028886,            0.021184,                   0,             0.77714,             0.69394,             0.74087,              0.4374,              0.0397,             0.02333,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.029346,            0.021179,                   0,             0.81261,             0.65455,             0.72888,             0.43326,            0.039956,            0.023252,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.027671,            0.019985,                   0,             0.72239,             0.69394,             0.73013,             0.43314,            0.039704,            0.024535,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.027269,            0.019399,                   0,             0.67601,             0.63939,              0.6819,             0.41412,            0.037711,            0.025263,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.028205,            0.019761,                   0,              0.6552,             0.67879,             0.68915,             0.41913,            0.038453,            0.024386,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.027079,            0.018695,                   0,             0.81244,             0.64545,              0.7282,              0.4345,            0.040486,             0.02422,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.027321,            0.019489,                   0,             0.73916,             0.66667,             0.72639,             0.42604,            0.039172,            0.024211,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.027796,            0.022242,                   0,             0.77728,              0.6697,             0.73923,              0.4463,            0.040426,            0.024298,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.025948,            0.017964,                   0,             0.84135,             0.62121,             0.72899,             0.43515,            0.038891,            0.024867,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.027034,            0.020213,                   0,             0.78815,             0.66364,             0.73157,             0.44692,             0.03892,            0.024615,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.025383,            0.019354,                   0,             0.78747,             0.66247,             0.73745,             0.44872,             0.03969,            0.024081,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.026526,            0.021946,                   0,             0.80479,             0.67576,             0.72565,             0.44603,            0.040089,            0.024123,                   0,             0.00505,             0.00505,             0.00505
                  52,             0.02542,            0.018238,                   0,             0.80334,             0.66846,             0.74556,               0.456,            0.039293,            0.025075,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.026105,            0.019706,                   0,             0.84261,             0.63636,              0.7556,              0.4629,            0.038809,            0.024563,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.025285,            0.018508,                   0,             0.79997,             0.69079,             0.74217,             0.45505,            0.038996,            0.023819,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.025213,             0.01849,                   0,             0.78419,             0.68788,             0.75262,             0.45391,            0.038154,            0.025338,                   0,            0.004654,            0.004654,            0.004654
                  56,              0.0246,            0.018675,                   0,             0.79135,             0.65758,             0.72554,             0.44012,            0.038659,            0.026232,                   0,            0.004555,            0.004555,            0.004555
                  57,             0.02361,            0.017237,                   0,              0.7598,             0.67576,             0.73402,             0.44125,            0.039251,            0.026265,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.026039,            0.018809,                   0,             0.76266,             0.64545,             0.72296,             0.44911,            0.038686,            0.025893,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.024837,            0.020101,                   0,             0.76204,             0.70842,              0.7453,             0.46635,            0.037647,            0.024628,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.025141,            0.019127,                   0,             0.79215,             0.64674,             0.73814,             0.45198,            0.039338,            0.024107,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.023446,            0.017451,                   0,             0.72385,             0.68182,             0.72612,             0.44398,            0.039264,            0.023245,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.023451,            0.018096,                   0,             0.76536,             0.64242,             0.70632,             0.43407,            0.039673,            0.024317,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.023852,            0.018591,                   0,             0.76627,             0.67273,             0.72757,             0.44415,            0.039626,            0.025058,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.024917,            0.019364,                   0,             0.75218,                 0.7,             0.74093,             0.45803,            0.038998,             0.02477,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.023709,            0.018726,                   0,             0.76837,             0.70364,              0.7481,             0.45568,            0.039512,            0.025803,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.024418,            0.020125,                   0,             0.85036,             0.63718,             0.74877,             0.45804,            0.039864,            0.025808,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.023354,            0.017823,                   0,              0.8128,             0.67102,             0.74015,             0.45742,            0.038692,            0.025877,                   0,            0.003466,            0.003466,            0.003466
                  68,             0.02258,            0.016564,                   0,             0.80117,             0.67273,             0.73559,             0.45856,             0.03955,            0.025421,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.023782,            0.016854,                   0,             0.81663,             0.67478,             0.74003,             0.45757,            0.038991,            0.025934,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.023037,             0.01648,                   0,             0.80643,             0.66364,               0.744,             0.46275,            0.039287,            0.026393,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.022983,            0.017067,                   0,             0.81542,              0.6697,              0.7412,             0.45362,            0.039928,            0.026153,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.021704,            0.017014,                   0,              0.7918,             0.65758,             0.73585,             0.45958,            0.037812,            0.025435,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.022329,            0.017156,                   0,             0.79994,             0.67576,             0.74149,             0.46029,            0.039032,            0.025458,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.021862,            0.017039,                   0,             0.84525,             0.62898,             0.74394,             0.45809,            0.038208,            0.025581,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.021926,            0.017502,                   0,             0.80562,             0.67879,             0.73939,             0.46097,            0.038941,            0.026476,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.021316,            0.015916,                   0,             0.83213,              0.6697,             0.73639,              0.4566,            0.038812,            0.027384,                   0,            0.002575,            0.002575,            0.002575
                  77,             0.02239,            0.016046,                   0,             0.81879,             0.65758,             0.73934,             0.46099,            0.038308,            0.027378,                   0,            0.002476,            0.002476,            0.002476
                  78,               0.022,             0.01684,                   0,             0.81223,             0.69697,              0.7531,             0.46417,            0.038665,            0.027077,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.022937,            0.018116,                   0,              0.7953,             0.68287,             0.74853,             0.46575,            0.038585,            0.027339,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.022122,            0.016852,                   0,             0.79431,             0.68182,              0.7473,             0.46606,            0.038342,            0.026825,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.021218,            0.016788,                   0,             0.79702,             0.66631,             0.74482,             0.47389,            0.038483,             0.02651,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.021062,            0.015972,                   0,             0.78158,             0.68312,             0.74644,             0.46907,            0.038866,            0.026488,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.021694,            0.016289,                   0,             0.76105,             0.68525,              0.7395,             0.46742,            0.039397,            0.025894,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.020429,            0.016423,                   0,             0.84304,             0.63477,             0.74484,             0.47233,            0.039589,            0.026468,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.020422,            0.016829,                   0,             0.78694,             0.68273,             0.75801,              0.4732,             0.03935,            0.026085,                   0,            0.001684,            0.001684,            0.001684
                  86,             0.02063,             0.01615,                   0,             0.76877,             0.69091,               0.763,             0.47826,            0.039308,            0.026315,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.020563,            0.015858,                   0,             0.80655,             0.66061,             0.74925,             0.46812,              0.0394,             0.02671,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.02011,            0.016008,                   0,             0.74659,             0.68743,              0.7471,             0.46682,            0.038638,               0.027,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.021234,            0.016116,                   0,             0.72294,             0.71954,             0.74848,             0.46746,             0.03887,            0.027264,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.020258,            0.016848,                   0,             0.73635,              0.7303,              0.7543,             0.47487,            0.038174,            0.026911,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.020918,            0.015516,                   0,             0.73758,              0.7303,             0.75399,             0.47797,            0.038431,              0.0273,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.020594,             0.01608,                   0,             0.76278,             0.72121,             0.75955,             0.48302,            0.038509,            0.026758,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.019909,            0.014968,                   0,             0.81674,             0.67273,               0.763,             0.48186,            0.038881,            0.026722,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.020022,            0.015728,                   0,             0.80521,             0.68896,             0.76945,             0.48659,            0.038818,            0.026314,                   0,            0.000793,            0.000793,            0.000793
                  95,             0.02039,            0.015605,                   0,             0.81935,             0.67349,             0.76426,             0.48288,            0.038933,            0.026352,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.019619,            0.015747,                   0,             0.80154,             0.66667,             0.75573,             0.48059,            0.038607,            0.026716,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.020164,            0.015807,                   0,              0.7878,             0.68625,             0.75465,             0.47509,            0.038389,            0.026838,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.019847,            0.016197,                   0,             0.79572,             0.69394,             0.75594,             0.47684,            0.038249,            0.026881,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.019695,            0.014942,                   0,              0.7962,             0.69394,             0.75585,             0.47819,            0.038434,            0.026827,                   0,            0.000298,            0.000298,            0.000298
